Block_idx,position_start,position_end,most_likely_state
0,0,708,17.0
0,709,3444,3.0
1,0,22636,6.0
1,22637,25774,22.0
1,25775,33597,7.0
2,0,1257,3.0
2,1258,1468,17.0
2,1469,4476,25.0
2,4477,5059,8.0
2,5060,5678,17.0
3,0,11554,6.0
3,11555,11660,23.0
3,11661,11959,17.0
3,11960,12146,23.0
3,12147,13481,6.0
3,13482,15348,16.0
4,0,12150,6.0
4,12151,13815,8.0
4,13816,55680,6.0
4,55681,56281,23.0
4,56282,64005,8.0
4,64006,66796,6.0
5,0,22019,6.0
6,0,919,7.0
6,920,1600,22.0
6,1601,5636,16.0
7,0,1312,6.0
7,1313,3741,22.0
7,3742,5243,6.0
8,0,4281,8.0
8,4282,9729,6.0
9,0,2035,16.0
9,2036,6542,3.0
9,6543,7823,5.0
9,7824,8522,17.0
9,8523,23829,6.0
10,0,378,23.0
10,379,3832,6.0
11,0,790,6.0
11,791,2303,17.0
11,2304,3024,3.0
12,0,3126,15.0
12,3127,3997,0.0
12,3998,5250,23.0
12,5251,11257,6.0
12,11258,15378,22.0
12,15379,24465,15.0
13,0,2439,25.0
13,2440,3924,16.0
13,3925,8243,22.0
13,8244,11534,6.0
14,0,4516,3.0
15,0,3210,25.0
15,3211,4901,13.0
16,0,2578,17.0
16,2579,6698,25.0
16,6699,10822,17.0
17,0,1949,16.0
17,1950,21002,6.0
18,0,9687,6.0
18,9688,11355,23.0
18,11356,19412,6.0
19,0,1578,22.0
19,1579,8616,6.0
20,0,18281,6.0
21,0,6149,6.0
21,6150,6694,17.0
21,6695,10558,25.0
22,0,6237,6.0
22,6238,8094,23.0
22,8095,10768,6.0
23,0,1160,22.0
23,1161,2273,6.0
24,0,3901,6.0
24,3902,3937,23.0
25,0,1853,23.0
25,1854,32974,6.0
25,32975,35996,22.0
25,35997,37875,16.0
25,37876,46535,6.0
25,46536,47996,16.0
26,0,1324,16.0
26,1325,4092,3.0
26,4093,4275,23.0
26,4276,5245,11.0
26,5246,7151,19.0
26,7152,9169,22.0
27,0,883,23.0
27,884,2863,17.0
27,2864,5315,25.0
28,0,2602,6.0
29,0,8489,6.0
30,0,8030,6.0
31,0,12518,3.0
31,12519,13042,17.0
31,13043,49007,6.0
32,0,14694,6.0
32,14695,16117,17.0
32,16118,18727,21.0
32,18728,22465,0.0
32,22466,26584,15.0
33,0,1162,16.0
33,1163,4207,1.0
33,4208,7337,22.0
34,0,13100,6.0
35,0,517,6.0
35,518,2068,17.0
35,2069,7515,6.0
36,0,966,23.0
36,967,9466,0.0
37,0,10798,0.0
37,10799,11767,17.0
37,11768,13518,6.0
38,0,2144,3.0
39,0,16640,3.0
40,0,2036,0.0
41,0,9740,3.0
42,0,10318,3.0
43,0,31197,3.0
44,0,7494,3.0
44,7495,8406,5.0
44,8407,9673,3.0
45,0,15243,6.0
46,0,2248,3.0
47,0,3297,1.0
47,3298,5339,22.0
48,0,1919,6.0
48,1920,4537,23.0
48,4538,20242,6.0
48,20243,23962,22.0
48,23963,26001,3.0
49,0,4129,0.0
49,4130,4239,17.0
49,4240,7850,13.0
49,7851,10628,22.0
49,10629,30282,6.0
49,30283,30706,23.0
50,0,2792,6.0
50,2793,3372,17.0
50,3373,5631,8.0
51,0,13960,6.0
51,13961,18505,8.0
51,18506,19436,6.0
51,19437,28575,0.0
52,0,7717,3.0
52,7718,7812,23.0
52,7813,14333,6.0
53,0,12425,6.0
53,12426,19289,0.0
54,0,3957,3.0
54,3958,4191,23.0
54,4192,21424,6.0
55,0,3664,6.0
55,3665,6645,0.0
56,0,5178,0.0
57,0,18409,6.0
57,18410,22973,23.0
58,0,15451,6.0
59,0,1945,8.0
59,1946,2365,23.0
59,2366,15971,3.0
60,0,2139,6.0
61,0,25569,0.0
62,0,9531,0.0
63,0,2678,3.0
63,2679,4272,16.0
64,0,8876,6.0
65,0,1765,15.0
65,1766,23221,3.0
66,0,12444,3.0
66,12445,17919,22.0
66,17920,27265,6.0
67,0,2896,6.0
67,2897,4195,23.0
67,4196,4852,0.0
67,4853,11405,15.0
